region;municipality_up_name;municipality_down_name;settlement_name;settlement_name_sep;type;arctic;remote;special;suburb;pop_men;pop_women;pop_total;latitude;longitude;mun_oktmo;sett_oktmo;wage_average;social_share;kindergarden_salary;school_salary;culture_salary;housing_depreciation;emergency_housing;building_construction_space;families_improve;space_per_capita;dtp_deaths_norm;dtp_injury_norm;primary_avaiability;dentists;terapists;pediatricians;support_staff;comments_health_perc;aviation_sun;aviation_center;death_rate;natural_growth;sport_facilities;sport_halls;sport_pools;sport_stadiums;sport_gym;cinemas;libraries;theatres;culture_centers;catering;improving_facilities;disabled_transport;disabled_buildings;lighting;kindergardens_availability;certificate_fail;russian_oge;math_oge;russian_ege;math_ege_base;math_ege_plus;spendings_per_schoolar;additional_education;ecology_spending;ecology_projects;emissions_all;emissions_first;emissions_second;comments_eco_perc;ecology_polygon;investments_per_capita;retail_federal;loss_results;gain_results;unemployed;revenue_per_capita;profit_bt_per_capita;vacancies;grocery store_norm;pvz_norm;nomadic_education_primary;nomadic_education_main;nomadic_education_high;nomadic_ngo;nomadic_language;nomadic_support;nomadic_firms;2.1.2_healthcare_new;2.1.3_housing_new;2.1.4_sports_new;2.1.7_public_spaces_new;2.1.8_education_new;2.2.1_air_quality_new;2.3.5_suitability_indigenous_binary_new;2.7_crime_experience_binary_new
Красноярский край;Эвенкийский муниципальный район;Сельское поселение поселок Тура;поселок Тура;поселок Тура (Красноярский край);поселок;TRUE;FALSE;ОНП;FALSE;2109;2331;4440;64.27428747;100.2108469;04650000;04650402101;4,69;11,3;4,88;5,31;3,94;;43,48;1,04;12,61;25,20;0,00;1,58;1,0;0,90;1,58;0,90;18,24;0;1,0;1,0;12,6;2,0;0,2;1,4;0,0;0,0;0,2;0,0;0,5;0,0;0,2;1,4;0,0;0,0;44,3;91,1;71,7;0,5;3,5;3,5;57,6;3,8;42,3;0,01;65,8;34,9;0,0;449,6;0,3;2,9;0;1,0;212,5;0,0;13,7;76,7;7,5;830,2;73,2;161,2;3,4;0,0;0,00;0,00;0,00;0,00;18,69;717,07;3,72;;;;;;;;
Архангельская область;Коношский муниципальный район;Городское поселение Коношское;рп Коноша;рп Коноша (Архангельская область);рп;FALSE;FALSE;ОНП;FALSE;4739;5731;10470;60.973192;40.256105;11622000;11622151051;2,54;41,6;2,37;2,56;2,49;15,29;13,56;0,75;24,45;32,33;0,10;2,48;1,0;0,57;0,96;0,48;8,02;21,83;1,0;1,0;19,5;-11,7;0,19;0,7;0,0;0,2;0,2;0,1;0,3;0,0;0,2;0,9;618,9;1,0;60,0;100,0;92,9;0,8;4,0;3,5;67,3;4,0;50,4;0,01;66,8;1,2;0,0;772,9;0,3;0,8;3,24;0,0;0,1;1,0;2,0;14,2;1,1;130,8;5,1;19,8;3,0;1,6;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Саха (Якутия);Усть-Майский муниципальный район;Городское поселение Поселок Эльдикан;пгт Эльдикан;пгт Эльдикан (Республика Саха (Якутия));пгт;FALSE;TRUE;ОНП;FALSE;514;566;1080;60.774946;135.152039;98654000;98654164051;3,98;16,9;2,23;2,76;2,53;50,87;6,67;0,00;;28,89;0,00;0,00;1,0;0,93;1,85;0,93;5,56;0;1,0;0,0;11,1;-3,0;0,0;0,0;0,0;0,0;0,0;0,0;0,9;0,0;0,9;0,0;0,0;0,0;0,0;50,0;100,0;0,0;3,3;2,9;70,2;3,3;37,4;0,02;63,3;8,1;0,0;989,9;0,3;1,1;0;0,0;5,9;0,0;5,0;394,6;9,6;29,5;11,1;1,8;2,8;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Карелия;Сортавальский муниципальный район;Вяртсильское городское поселение;пгт Вяртсиля;пгт Вяртсиля (Республика Карелия);пгт;FALSE;FALSE;ПНП;FALSE;900;1204;2104;62.175344;30.692023;86610000;86610000052;2,56;33,9;2,24;2,22;;27,99;10,53;2,69;7,60;31,04;0,48;1,90;1,0;;;;;3,17;0,0;0,0;18,5;-10,2;3,3;0,5;0,0;1,4;0,5;0,0;0,5;0,0;0,0;1,0;1045,6;0,0;50,0;73,0;100,0;0,0;3,6;3,0;73,2;4,0;58,0;0,01;1,5;1,9;0,0;240,5;0,3;1,2;8,73;0,0;0,8;1,0;31,2;79,8;7,6;60,8;5,6;24,8;7,1;1,0;0,00;0,00;0,00;;;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Городской округ Мегион;Городской округ Мегион;пгт Высокий;пгт Высокий (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;TRUE;3102;3435;6537;61.155933;75.980865;71873000;71873000056;4,15;25,4;2,63;3,37;3,62;;23,47;18,99;64,40;18,58;0,15;1,68;1,0;0,00;0,61;0,00;2,91;4,66;0,0;0,0;8,0;2,2;1,1;0,8;0,2;0,0;0,2;0,2;0,2;0,2;0,3;0,0;12807,6;18,0;33,3;81,4;64,8;0,0;4,0;3,4;64,5;4,0;55,9;0,01;80,2;5,3;1,0;710,8;0,3;4,5;4,66;0,0;18,9;1,0;316,6;198,7;3,3;1988,7;-343,9;27,7;3,4;0,5;0,00;0,00;0,00;0,15;0,00;0,00;0,00;;;;;;;;
Республика Коми;Муниципальный район Удорский;Городское поселение Усогорск;пгт Усогорск;пгт Усогорск (Республика Коми);пгт;FALSE;TRUE;ОНП;FALSE;2227;2709;4936;63.4314199;48.708808;87640000;87640155051;2,40;44,5;2,23;2,39;;23,28;0,00;0,30;2,23;42,18;0,20;1,22;1,0;0,41;0,81;0,61;15,40;5,56;1,0;0,0;15,4;-7,5;1,4;0,8;0,0;0,0;0,0;0,0;0,2;0,0;0,4;1,4;24,3;;;60,6;31,7;2,7;3,7;3,3;60,2;4,0;54,9;0,01;28,9;9,6;0,0;1335,4;0,3;1,9;7,41;1,0;0,4;1,0;2,0;3,0;12,3;149,3;-3,0;66,3;2,6;1,2;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Нефтеюганский муниципальный район;Сельское поселение Сингапай;посёлок Сингапай;посёлок Сингапай (Ханты-Мансийский автономный округ - Югра);поселок;FALSE;FALSE;0;TRUE;2424;2209;4633;61.154226;72.643549;71818000;71818410101;4,65;12,3;3,37;4,08;3,25;29,29;30,61;4,74;15,97;21,81;0,22;0,43;1,0;0,22;0,27;0,22;1,51;3,85;0,0;0,0;5,7;2,7;1,9;0,4;0,0;0,2;0,2;0,0;0,2;0,0;0,2;0,9;0,0;100,0;75,8;58,0;84,5;0,0;4,1;3,6;65,1;4,4;60,3;0,01;87,6;76,2;0,0;201,2;0,3;3,2;3,85;0,0;164,0;1,0;27,5;24,8;0,3;46641,2;6019,5;106,7;4,3;0,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Мурманская область;Кольский муниципальный район;Городское поселение Молочный;пгт Молочный;пгт Молочный (Мурманская область);пгт;TRUE;FALSE;0;TRUE;1906;2288;4194;68.852707;33.017532;47605000;47605161051;4,27;9,20;2,73;3,17;3,02;48,03;20,00;0,23;0,95;5,65;0,00;0,72;1,0;0,24;0,48;0,48;2,15;14,15;0,0;0,0;15,6;-7,8;1,2;0,7;0,0;0,0;0,2;0,0;0,5;0,0;0,2;0,5;;;;;;0,0;3,7;3,5;58,8;4,0;49,3;0,01;7,1;15,4;1,0;2890,9;0,3;12,2;10,38;0,0;82,4;1,0;13,2;156,7;11,2;14167,4;1623,0;30,0;4,3;1,4;1,00;1,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Коми;Муниципальный район Троицко-Печорский;Городское поселение Троицко-Печорск;пгт Троицко-Печорск;пгт Троицко-Печорск (Республика Коми);пгт;FALSE;TRUE;ОНП;FALSE;2756;3296;6052;62.7122398;56.18836942;87636000;87636151051;2,34;72,6;2,04;2,45;;49,22;20,00;0,80;;;0,00;2,64;1,0;0,66;0,99;0,17;16,36;4;1,0;0,0;22,1;-15,0;1,2;0,7;0,0;0,2;0,2;0,0;0,3;0,0;0,2;0,7;;0,0;;78,2;47,8;1,6;3,7;3,3;68,3;4,1;60,5;0,01;42,5;5,4;0,0;938,6;0,2;0,1;7,05;1,0;0,5;1,0;39,1;5,3;16,7;134,6;-109,6;99,0;3,6;1,3;0,00;0,00;0,00;0,00;0,00;0,00;;2,9;3,0;3,4;2,9;3,5;3,7;1,0;0,1
Красноярский край;Мотыгинский муниципальный район;Городское поселение поселок Раздолинск;пгт Раздолинск;пгт Раздолинск (Красноярский край);пгт;FALSE;FALSE;ПНП;FALSE;1131;1193;2324;58.4166914;94.6201418;04635000;04635154051;3,62;18;2,24;2,92;2,02;42,07;12,50;0,00;5,16;27,54;0,00;1,29;1,0;0,43;0,43;0,43;4,30;18,18;0,0;0,0;15,5;-3,8;0,9;0,9;0,0;0,0;0,9;0,0;0,4;0,0;0,4;0,0;0,0;;;60,6;87,9;1,4;4,0;3,6;74,7;4,3;56,8;0,01;8,1;15,2;0,0;2204,4;0,2;0,8;0;0,0;15,0;0,0;1,2;1274,5;;133,6;19,6;;4,7;1,3;0,00;0,00;0,00;;;0,00;0,00;;;;;;;;
Мурманская область;Печенгский муниципальный округ;Печенгский муниципальный округ;пгт Никель;пгт Никель (Мурманская область);пгт;TRUE;FALSE;ПНП;TRUE;4543;5315;9858;69.410835;30.214269;47515000;47515000051;3,80;14,8;3,04;3,48;2,85;39,96;0,76;0,00;2,03;33,10;0,00;0,81;1,0;0,51;0,91;0,51;8,93;5,74;1,0;1,0;10,6;-1,2;0,9;0,1;0,1;0,1;0,1;0,0;0,3;0,0;0,1;0,8;855,4;;60,0;100,0;76,9;0,5;;;64,0;4,0;59,5;0,01;30,1;20,4;1,0;5633,0;0,2;22,2;4,78;1,0;7,0;1,0;22,2;60,8;13,6;113,3;12,3;89,7;2,6;1,5;1,00;1,00;1,00;0,00;0,00;0,00;0,00;1,8;2,4;3,1;2,5;2,9;3,8;0,8;0,1
Республика Коми;Муниципальный район Корткеросский;Сельское поселение Корткерос;село Корткерос;село Корткерос (Республика Коми);село;FALSE;FALSE;ОНП;TRUE;2176;2534;4710;61.81568872;51.563076;87616000;87616430101;2,26;50,1;1,91;2,48;;19,81;23,91;5,23;1,06;28,11;0,00;2,97;1,0;0,85;1,70;0,42;24,42;0;0,0;0,0;17,9;-5,7;1,3;0,6;0,0;0,2;0,0;0,0;0,2;0,0;0,2;1,1;;;;84,6;27,2;0,0;3,7;3,5;62,5;4,2;57,4;0,01;59,9;1,5;0,0;723,8;0,2;21,8;3,64;0,0;0,5;1,0;1,5;8,2;11,1;290,1;5,1;96,0;2,5;1,3;0,00;0,00;0,00;0,00;0,00;0,00;;2,8;2,5;3,0;2,8;3,2;3,6;0,7;0,4
Республика Коми;Муниципальный район Ижемский;Сельское поселение Ижма;село Ижма;село Ижма (Республика Коми);село;FALSE;TRUE;ОНП;FALSE;1883;2034;3917;65.0101065;53.91321601;87604000;87604420101;2,73;45,9;2,70;3,16;;48,20;19,15;1,73;0,26;27,83;0,00;3,57;1,0;1,02;1,53;0,77;27,32;4,55;1,0;0,0;17,2;-3,0;1,0;1,0;0,0;0,0;0,3;0,3;0,5;0,0;0,3;1,0;;;;79,8;22,4;0,0;3,6;3,5;64,7;3,0;62,2;0,01;64,3;3,4;0,0;480,6;0,2;0,1;8,18;1,0;0,7;1,0;1,0;4,7;17,9;92,3;6,0;50,3;3,6;1,3;0,00;0,00;0,00;0,00;0,00;;;2,1;2,4;3,3;2,7;3,0;3,6;0,9;0,2
Мурманская область;Городской округ поселок Видяево (ЗАТО);Городской округ поселок Видяево (ЗАТО);населенный пункт Видяево;населенный пункт Видяево (Мурманская область);поселок;TRUE;FALSE;0;FALSE;2188;2139;4327;69.319502;32.799553;47735000;47735000101;2,76;;2,85;3,13;2,71;25,71;2,33;0,00;172,41;31,19;0,23;0,23;1,0;0,46;0,69;0,23;3,70;11,26;0,0;0,0;3,6;7,3;0,9;0,2;0,2;0,0;0,2;0,0;0,2;0,0;0,2;0,5;0,0;;100,0;80,0;76,5;0,0;3,8;3,8;65,3;4,3;59,7;0,01;66,3;6,6;1,0;1658,9;0,2;6,7;6,62;1,0;;1,0;0,2;;5,3;2477,5;1011,4;103,2;1,4;1,2;1,00;1,00;1,00;0,00;0,00;0,00;0,00;2,8;2,9;2,9;2,4;3,0;3,6;0,9;0,3
Республика Коми;Муниципальный район Усть-Куломский;Сельское поселение Усть-Кулом;село Усть-Кулом;село Усть-Кулом (Республика Коми);село;FALSE;FALSE;ОНП;FALSE;2338;2739;5077;61.6875755;53.68792973;87648000;87648485101;2,29;50,6;2,12;2,68;;15,00;42,22;3,20;0,00;;0,00;5,32;1,0;0,98;1,18;0,79;20,48;19,34;1,0;0,0;17,6;-5,6;0,4;0,4;0,0;0,2;0,2;0,0;0,4;0,0;0,2;1,6;;;0,0;77,5;20,4;0,0;3,9;3,4;71,4;4,5;62,2;0,01;34,5;2,5;0,0;737,6;0,2;0,6;3,87;1,0;0,6;1,0;2,3;8,1;18,6;290,6;70,5;58,7;3,9;1,0;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Республика Коми;Городской округ Сыктывкар;Городской округ Сыктывкар;пгт Седкыркещ;пгт Седкыркещ (Республика Коми);пгт;FALSE;FALSE;0;TRUE;622;713;1335;61.72476955;50.95511826;87701000;87701000066;3,08;26,6;2,21;2,41;;39,99;50,00;0,59;;;0,75;4,49;0,5;0,75;0,75;0,00;3,75;5,49;0,0;0,0;12,1;-2,7;0,7;0,0;0,0;0,7;0,0;0,0;0,7;0,0;0,7;0,0;0,0;0,0;;;0,2;0,0;3,3;3,1;;;;0,01;;6,5;0,0;366,3;0,2;0,1;9,89;0,0;3,2;0,0;19,1;156,7;14,5;83099,1;5644,7;1,0;2,2;0,0;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Мурманская область;Печенгский муниципальный округ;Печенгский муниципальный округ;пгт Печенга;пгт Печенга (Мурманская область);пгт;TRUE;FALSE;ПНП;FALSE;1381;825;2206;69.546179;31.209883;47515000;47515000056;3,80;14,8;2,96;3,58;2,85;31,33;0,00;0,00;4,99;15,79;0,00;0,00;1,0;0,00;0,91;0,00;3,17;6,77;1,0;1,0;10,6;-1,2;1,8;0,5;0,0;0,0;0,5;0,0;0,5;0,0;0,5;0,0;;;60,0;83,0;76,9;0,0;3,4;4,0;68,3;4,6;62,9;0,01;5,9;20,4;1,0;572,8;0,2;0,0;5,01;0,0;7,0;1,0;22,2;60,8;3,2;73,0;3,5;138,5;0,9;1,4;1,00;1,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Октябрьский муниципальный район;Городское поселение Приобье;пгт Приобье;пгт Приобье (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;TRUE;0;FALSE;3706;3844;7550;62.544123;65.62737;71821000;71821156051;4,56;21,9;2,96;3,64;3,05;46,11;51,22;0,60;4,90;36,11;0,26;1,46;1,0;0,53;0,66;0,53;12,45;0;1,0;0,0;12,1;-1,9;1,5;1,2;0,3;0,0;0,4;0,0;0,1;0,1;0,1;0,9;1803,2;0,0;100,0;100,0;75,8;0,0;3,9;3,3;64,3;4,1;47,6;0,01;92,8;44,6;0,0;945,0;0,2;10,1;3,73;1,0;24,0;1,0;5,9;21,2;15,3;390,5;11,3;31,7;4,6;1,2;0,00;0,00;0,00;0,00;0,00;16,23;0,13;3,0;3,4;3,9;3,8;4,0;3,8;1,0;0,4
Ханты-Мансийский автономный округ - Югра;Советский муниципальный район;Городское поселение Малиновский;пгт Малиновский;пгт Малиновский (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;TRUE;1003;1199;2202;61.19462;62.802757;71824000;71824158051;3,66;32,5;3,10;3,79;2,53;;11,90;3,81;69,48;29,53;0,00;0,91;1,0;0,00;0,45;0,00;0,45;0;0,0;0,0;12,5;-2,8;0,5;0,9;0,5;0,0;0,0;0,0;0,5;0,0;0,5;0,9;1628,1;0,0;15,0;62,0;95,2;1,6;4,0;3,3;62,2;3,8;53,5;0,01;84,7;9,3;0,0;193,0;0,1;0,0;5,88;0,0;10,2;1,0;11,1;23,0;15,4;336,7;48,1;2,8;2,7;0,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3,4;3,6;3,5;3,4;3,5;3,9;1,0;0,3
Мурманская область;Ловозерский муниципальный район;Городское поселение Ревда;пгт Ревда;пгт Ревда (Мурманская область);пгт;TRUE;FALSE;ОНП;FALSE;3161;3233;6394;67.942267;34.553781;47610000;47610154051;2,70;12,8;2,84;3,56;3,05;13,08;1,96;0,00;0,00;24,96;0,16;1,41;1,0;0,47;0,78;0,16;6,88;4,79;0,0;0,0;16,0;-9,2;0,5;0,2;0,0;0,2;0,2;0,2;0,3;0,0;0,2;0,6;;;;;;0,6;3,6;3,5;64,7;4,2;57,1;0,01;50,5;4,6;1,0;1647,2;0,1;5,4;19,17;0,0;0,4;1,0;3,8;13,7;25,9;448,8;15,5;93,0;3,1;1,6;1,00;1,00;1,00;0,16;0,00;;;2,3;2,3;2,3;2,6;3,2;3,5;0,7;0,3
Ханты-Мансийский автономный округ - Югра;Советский муниципальный район;Городское поселение Пионерский;пгт Пионерский;пгт Пионерский (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;TRUE;1966;2301;4267;61.198964;62.858069;71824000;71824157051;3,66;32,5;2,98;3,40;2,75;;15,76;4,03;83,20;28,45;0,00;3,28;1,0;1,64;3,28;1,17;48,04;4;0,0;0,0;12,5;-2,8;1,2;0,9;0,0;0,2;0,5;0,2;0,2;0,0;0,2;0,7;2390,4;0,0;20,0;100,0;78,3;0,8;3,9;3,4;65,7;4,1;57,6;0,01;85,0;9,3;0,0;239,2;0,1;0,2;14;1,0;10,2;1,0;11,1;23,0;24,6;172,9;24,8;29,3;5,4;1,2;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2,9;3,3;3,2;3,1;3,2;3,6;0,9;0,4
Республика Коми;Муниципальный район Прилузский;Сельское поселение Объячево;село Объячево;село Объячево (Республика Коми);село;FALSE;FALSE;ОНП;FALSE;2559;3058;5617;60.3360426;49.61267778;87624000;87624445101;2,40;43;1,83;2,52;;48,23;5,61;2,04;1,78;;0,00;3,38;1,0;0,89;1,42;0,53;19,58;4,26;1,0;0,0;18,3;-8,3;2,0;0,7;0,0;0,4;0,4;0,2;0,2;0,0;0,2;1,4;890,2;0,0;25,0;90,0;37,7;0,7;3,7;3,4;62,2;4,1;53,5;0,01;37,3;2,5;0,0;462,8;0,1;2,0;10,64;1,0;1,0;1,0;1,9;7,5;26,0;191,4;49,2;66,0;2,0;1,4;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Республика Коми;Городской округ Сыктывкар;Городской округ Сыктывкар;пгт Краснозатонский;пгт Краснозатонский (Республика Коми);пгт;FALSE;FALSE;0;TRUE;3372;4064;7436;61.67884948;50.9826987;87701000;87701000061;3,08;26,6;2,29;2,53;;32,15;59,04;5,57;;;0,00;6,19;1,0;0,54;1,21;0,40;5,65;1,52;0,0;0,0;12,1;-2,7;0,8;0,0;0,0;0,0;0,0;0,0;0,1;0,0;0,3;0,5;0,0;0,0;;;3,0;0,0;3,8;3,5;70,9;4,3;62,2;0,00;2,1;6,5;0,0;287,1;0,1;0,2;14,65;0,0;3,2;1,0;19,1;156,7;7,3;16783,3;1274,7;48,7;2,7;0,9;0,00;0,00;0,00;0,00;0,00;0,00;;3,0;3,2;3,8;3,5;3,8;3,7;1,0;0,2
Архангельская область;Котласский муниципальный район;Городское поселение Шипицынское;рп Шипицыно;рп Шипицыно (Архангельская область);рп;FALSE;FALSE;ОНП;TRUE;1588;1792;3380;61.280692;46.519085;11527000;11527000057;3,30;41,4;2,27;2,93;2,65;40,52;19,38;0,78;15,98;36,04;0,00;2,96;1,0;0,00;0,30;0,30;5,33;0;0,0;0,0;16,8;-11,3;1,8;0,3;0,0;0,0;0,3;0,0;0,6;0,0;0,3;0,0;1616,6;0,0;33,3;32,0;77,2;0,4;3,8;3,5;70,4;3,9;56,6;0,09;66,8;2,5;0,0;36,1;0,1;0,3;5,26;0,0;2,7;1,0;0,9;4,1;5,4;4938,5;264,4;9,2;3,8;1,8;0,00;0,00;0,00;;;;;1,5;2,0;3,0;1,6;2,5;3,3;0,8;0,3
Мурманская область;Кандалакшский муниципальный район;Сельское поселение Алакуртти;село Алакуртти;село Алакуртти (Мурманская область);село;TRUE;FALSE;ПНП;FALSE;3187;2346;5533;66.962969;30.34733;47608000;47608403101;3,10;27,7;3,06;3,51;3,17;12,32;0,00;0,00;0,90;25,04;0,00;0,72;1,0;0,18;0,72;0,36;1,45;1,95;0,0;0,0;20,7;-12,2;2,0;0,0;0,2;0,0;0,2;0,0;0,2;0,0;0,2;0,7;0,0;0,0;37,0;70,0;;0,9;3,8;3,5;69,3;4,3;48,6;0,01;12,1;10,1;0,0;1624,6;0,1;5,9;2,73;0,0;0,3;1,0;5,5;7,7;4,6;11,2;0,3;27,8;2,2;0,7;1,00;1,00;1,00;0,00;0,00;0,00;0,00;2,2;2,2;2,1;2,1;2,1;3,2;0,9;0,4
Республика Коми;Муниципальный район Удорский;Городское поселение Междуреченск;пгт Междуреченск;пгт Междуреченск (Республика Коми);пгт;FALSE;TRUE;ПНП;FALSE;501;566;1067;63.2225567;48.5677239;87640000;87640153051;2,40;44,5;2,10;2,51;;25,15;10,00;0,00;7,50;;0,00;0,00;1,0;0,94;0,00;0,00;3,75;7,14;0,0;0,0;15,4;-7,5;4,7;1,9;0,0;0,0;0,9;0,0;0,9;0,0;0,9;0,9;0,0;;;14,4;5,9;0,0;4,1;3,4;69,6;4,0;59,5;0,01;2,9;9,6;0,0;286,9;0,1;0,0;0;1,0;0,4;0,0;2,0;3,0;16,1;55,3;3,4;8,8;2,8;1,9;0,00;0,00;0,00;0,00;0,00;0,00;;2,9;2,6;3,0;2,6;3,3;3,3;0,8;0,3
Республика Коми;Муниципальный район Княжпогостский;Городское поселение Синдор;пгт Синдор;пгт Синдор (Республика Коми);пгт;FALSE;FALSE;ПНП;FALSE;1193;880;2073;62.8621888;51.888812;87608000;87608000056;3,09;31,9;1,88;2,83;;21,39;21,21;0,75;0,96;27,70;0,00;0,00;1,0;0,00;0,48;0,00;4,34;0;0,0;0,0;16,3;-7,4;2,9;1,9;0,0;0,5;0,5;0,0;0,0;0,0;0,5;0,5;710,1;;;83,3;11,3;5,6;4,1;3,5;60,3;3,6;40,8;0,01;5,5;10,6;0,0;128,7;0,1;0,0;21,05;0,0;6,0;1,0;3,8;55,2;4,4;45,2;1,2;69,2;1,9;1,4;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;;
Мурманская область;Кандалакшский муниципальный район;Городское поселение Зеленоборский;пгт Зеленоборский;пгт Зеленоборский (Мурманская область);пгт;TRUE;FALSE;ПНП;FALSE;1639;2129;3768;66.847847;32.369812;47608000;47608158051;3,10;27,7;2,55;3,18;2,62;43,79;45,15;0,55;29,72;38,84;0,00;3,45;1,0;0,27;0,53;0,27;4,51;10,88;0,0;0,0;20,7;-12,2;0,8;0,0;0,0;0,0;0,3;0,0;0,5;0,0;0,8;0,5;132,7;0,0;28,0;95,0;;0,0;3,9;3,8;67,2;4,2;57,4;0,01;17,4;10,1;0,0;1236,8;0,1;4,4;4,66;1,0;0,3;1,0;5,5;7,7;22,3;118,6;3,6;12,5;4,5;1,3;1,00;1,00;1,00;0,00;0,00;0,00;0,00;3,5;3,3;3,6;3,5;3,7;3,6;0,9;0,2
Ханты-Мансийский автономный округ - Югра;Кондинский муниципальный район;Городское поселение Куминский;пгт Куминский;пгт Куминский (Ханты-Мансийский автономный округ - Югра);пгт;FALSE;FALSE;0;FALSE;1155;1349;2504;58.808337;65.973389;71816000;71816154051;3,93;29,9;2,97;3,64;2,28;54,53;33,33;1,04;7,59;24,57;0,00;2,00;1,0;0,40;0,00;0,40;6,79;1,56;1,0;0,0;13,8;-4,0;0,8;1,6;0,0;0,0;0,0;0,4;0,4;0,0;0,4;0,4;0,0;0,0;100,0;100,0;71,4;0,0;3,9;3,3;67,9;4,3;63,2;0,01;87,4;15,8;0,0;347,0;0,1;0,3;9,38;0,0;79,4;0,0;5,8;7,0;17,0;48,0;8,7;4,2;2,8;0,8;0,00;0,00;0,00;0,00;0,00;0,00;0,13;2,2;2,4;2,1;1,9;3,0;3,4;0,8;0,4
Мурманская область;Кольский муниципальный район;Городское поселение Кильдинстрой;пгт Кильдинстрой;пгт Кильдинстрой (Мурманская область);пгт;TRUE;FALSE;0;TRUE;1105;1139;2244;68.804368;33.1017;47605000;47605158051;4,27;9,20;2,88;3,17;2,94;38,33;0,00;0,00;6,68;46,67;0,00;2,23;1,0;0,00;0,45;0,00;2,23;5,26;0,0;0,0;15,6;-7,8;1,3;0,0;0,0;0,0;0,0;0,0;0,4;0,0;0,4;0,0;;;;;;0,0;3,6;3,3;;;;0,01;1,9;15,4;1,0;1544,8;0,1;5,7;7,89;0,0;82,4;1,0;13,2;156,7;21,6;6965,2;1027,9;126,5;4,9;1,3;1,00;1,00;1,00;0,00;0,00;0,00;0,00;;;;;;;;
Архангельская область;Ленский муниципальный район;Сафроновское сельское поселение;село Яренск;село Яренск (Архангельская область);село;FALSE;FALSE;ОНП;FALSE;1374;1752;3126;62.171324;49.090821;11635000;11635420101;3,38;33,4;2,58;3,05;2,44;32,26;15,63;2,55;23,35;39,10;0,00;2,24;1,0;0,64;1,28;0,64;12,16;22,69;0,0;0,0;17,8;-9,1;1,6;1,6;0,0;0,6;1,0;0,3;0,3;0,0;0,6;1,9;5758,2;100,0;66,7;70,0;93,7;0,6;4,2;3,6;77,7;4,4;55,0;0,01;44,1;5,2;0,0;50,5;0,1;0,1;10,92;0,0;1,6;1,0;1,9;6,8;20,2;92,3;10,9;36,3;8,3;1,9;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;;;;;;
Ханты-Мансийский автономный округ - Югра;Березовский муниципальный район;Городское поселение Игрим;пгт Игрим;пгт Игрим (Ханты-Мансийский автономный округ - Югра);пгт;TRUE;FALSE;0;FALSE;3398;3848;7246;63.193915;64.426327;71812000;71812154051;4,40;29,3;3,38;3,96;2,21;56,76;41,12;0,94;9,11;36,67;0,00;1,66;1,0;0,83;1,24;0,41;15,46;2,56;1,0;0,0;11,8;-1,4;0,4;1,4;0,1;0,0;0,0;0,1;0,3;0,0;0,3;0,6;1873,6;100,0;59,0;100,0;95,2;2,5;3,8;3,3;64,6;4,0;53,1;0,01;72,3;6,3;0,0;214,2;0,1;0,1;8,97;0,0;1,2;1,0;12,7;10,2;15,9;78,6;1,3;19,2;4,1;0,8;0,00;0,00;0,00;0,00;0,00;10,05;0,14;3,4;3,6;2,9;3,2;3,1;3,0;1,0;0,2
Ямало-Ненецкий автономный округ;Муниципальный округ Тазовский район;Муниципальный округ Тазовский район;поселок Тазовский;поселок Тазовский (Ямало-Ненецкий автономный округ);поселок;TRUE;TRUE;0;FALSE;4010;4431;8441;67.470141;78.708971;71943000;71943000101;5,45;6,6;4,28;5,03;5,92;31,28;48,36;6,24;34,36;19,63;0,00;1,66;1,0;0,71;1,07;0,95;20,14;4,1;1,0;1,0;7,8;12,5;1,7;1,7;0,2;0,0;0,5;0,1;0,4;0,0;0,4;2,0;692,7;100,0;100,0;100,0;81,0;2,7;3,8;3,3;61,4;3,8;50,7;0,02;96,7;131,4;1,0;279,6;0,1;0,4;10,6;1,0;912,8;1,0;7,9;60,4;13,7;1604,0;143,0;1319,2;5,0;1,2;0,00;0,00;0,00;0,00;66,70;;1,30;1,9;1,6;2,3;1,6;2,6;3,2;0,8;0,3
